State,Day,Night
AL,975,743
AR,55,40
AZ,1535,718
CA,6930,5547
CO,991,540
CT,364,230
DC,30,23
DE,97,45
FL,3688,2013
GA,1465,867
IA,108,120
ID,12,16
IL,1299,951
IN,321,218
KS,191,82
KY,436,237
LA,1179,377
MA,580,361
MD,771,326
ME,48,31
MI,1091,837
MN,911,966
MO,561,386
MS,186,51
MT,7,1
NC,3637,1025
ND,0,1
NE,299,167
NH,199,123
NJ,873,587
NM,152,65
NV,142,108
NY,2424,1644
OH,1183,981
OK,1197,664
OR,1981,1821
PA,1378,652
RI,189,133
SC,2909,1374
SD,2,0
TN,1463,789
TX,5128,2430
UT,847,610
VA,1835,1171
VT,17,10
WA,701,773
WI,455,211
WV,67,38
WY,11,60
