State,Counts
AL,1174.5833333333333
AR,49.75
AZ,1891.8333333333333
CA,13065.416666666666
CO,1176.75
CT,534.4166666666666
DC,79.25
DE,136.91666666666666
FL,5478.666666666667
GA,2051.0833333333335
IA,206.83333333333334
ID,34.916666666666664
IL,2005.3333333333333
IN,1141.8333333333333
KS,199.66666666666666
KY,662.3333333333334
LA,1701.6666666666667
MA,785.5
MD,917.0833333333334
ME,58.583333333333336
MI,2023.9166666666667
MN,1684.4166666666667
MO,729.5833333333334
MS,211.33333333333334
MT,12.666666666666666
NC,4686.333333333333
ND,3.1666666666666665
NE,487.5
NH,208.41666666666666
NJ,1246.0
NM,176.0
NV,221.75
NY,3162.75
OH,1470.6666666666667
OK,1707.0833333333333
OR,1874.75
PA,1851.25
RI,270.6666666666667
SC,4696.75
SD,2.1666666666666665
TN,2038.5
TX,7004.166666666667
UT,929.4166666666666
VA,2252.4166666666665
VT,15.666666666666666
WA,1576.4166666666667
WI,419.25
WV,56.0
WY,16.583333333333332
