P1	P2	A
-1.477030010445000929e+00	1.284483469975503889e+00	2.000000000000000000e+00
-1.077808868218744554e+00	1.081843142881774966e+00	2.000000000000000000e+00
-1.218552573985208998e+00	-2.927931278526444969e-01	3.000000000000000000e+00
-2.515186964985772544e+00	7.132192880970942284e-01	2.000000000000000000e+00
-2.926917436576261800e+00	-9.666993989206312810e-01	3.000000000000000000e+00
-2.942553690375461439e+00	-6.304234540995689029e-01	2.000000000000000000e+00
-2.185627611432416462e+00	4.185248979249090451e-01	2.000000000000000000e+00
-1.178298813212227625e+00	8.375068096969454645e-01	2.000000000000000000e+00
-1.248214062587788664e+00	9.173050799028752422e-01	2.000000000000000000e+00
-1.481591165038183444e+00	-2.953333722785400073e-01	3.000000000000000000e+00
1.334205037412584005e+00	-1.180738133317598582e+00	3.000000000000000000e+00
2.232946469162557346e+00	1.492029649403231906e+00	3.000000000000000000e+00
-1.682851420269828147e+00	-5.623223098550999000e-01	3.000000000000000000e+00
-1.799434884193201967e+00	6.649495490148101817e-01	2.000000000000000000e+00
6.964004193929428377e-01	4.061870652134068616e-01	3.000000000000000000e+00
6.964004193929428377e-01	4.061870652134068616e-01	3.000000000000000000e+00
-1.706485444583668798e+00	-9.404773968996830158e-01	2.000000000000000000e+00
6.341755153964532266e-01	1.381737532480034947e+00	3.000000000000000000e+00
-1.628509479573523322e+00	9.971868303454715088e-01	2.000000000000000000e+00
-1.794397492489291590e+00	1.104956205800071700e+00	3.000000000000000000e+00
-4.158857278402152136e-01	8.082290483970497874e-01	2.000000000000000000e+00
-1.656613526190047203e+00	1.654843785551832314e+00	2.000000000000000000e+00
-1.255903097075336428e+00	1.445001846766546194e+00	3.000000000000000000e+00
-1.213982795758770772e+00	1.544722943088019607e+00	3.000000000000000000e+00
-1.704869365318529395e+00	1.655929354522931440e+00	2.000000000000000000e+00
-1.760318905955698732e+00	1.898374776616621906e+00	2.000000000000000000e+00
1.233632522513400609e+00	1.886023210653249071e+00	3.000000000000000000e+00
2.618892523957018437e+00	2.202664974989243962e+00	2.000000000000000000e+00
1.100810318535804910e+00	5.576133288475333509e-03	2.000000000000000000e+00
8.020715772813861166e-01	2.868105526320597232e+00	2.000000000000000000e+00
-8.892841800563380250e-01	2.882011610386252531e+00	2.000000000000000000e+00
-1.064447011423151901e+00	2.678507603895877942e+00	2.000000000000000000e+00
-1.507864388602622840e+00	-2.371107000294649103e-01	3.000000000000000000e+00
-1.263160304588172300e+00	3.970344611755902142e-01	2.000000000000000000e+00
5.556570919187596713e-01	1.707417636306856279e+00	2.000000000000000000e+00
-1.647561522349343610e+00	1.839347901478133596e-01	3.000000000000000000e+00
-3.520348142484927556e-01	-5.908874205408412017e-01	2.000000000000000000e+00
4.196214535402568724e-01	-1.161801016248297680e+00	3.000000000000000000e+00
5.009219088019002397e-01	-1.128141382938206316e+00	3.000000000000000000e+00
-9.200975238433276027e-02	-5.320089237183079911e-01	3.000000000000000000e+00
-9.937579830448828311e-01	-1.360062546484295920e+00	2.000000000000000000e+00
-1.432530631089031226e-01	1.960624447209753651e-01	2.000000000000000000e+00
1.442196075112693321e-01	-3.464097388590879345e-01	2.000000000000000000e+00
3.363095505119403361e-01	-6.931644950300079877e-01	3.000000000000000000e+00
-2.162756841087665541e-02	-4.217702878105483166e-01	3.000000000000000000e+00
-2.291742527889798764e-01	-3.549832611237183078e-01	2.000000000000000000e+00
-1.040175753932809588e+00	-8.449503424500617310e-01	2.000000000000000000e+00
-6.983305924061273817e-01	-4.097797239048281415e-01	2.000000000000000000e+00
-2.262329001370825932e+00	-1.234227300329215016e+00	3.000000000000000000e+00
-1.450567861669756820e+00	8.620493975442157231e-01	2.000000000000000000e+00
-1.595239544292927025e+00	1.120720288559753780e-01	2.000000000000000000e+00
-1.437310806139730834e+00	-1.001917424009072022e+00	2.000000000000000000e+00
-1.518318952086495699e+00	-1.713185906252955082e+00	2.000000000000000000e+00
2.115285378058679722e-01	-1.306449990415173568e-01	2.000000000000000000e+00
-7.883059129775378537e-02	-5.697561356323821435e-01	2.000000000000000000e+00
5.551835886591232061e-01	-1.941270717591485839e+00	3.000000000000000000e+00
-3.277540729771151184e-01	6.424713907199745000e-01	2.000000000000000000e+00
-2.210488223793337023e-02	3.011565488474287622e-01	2.000000000000000000e+00
-7.301258061512299058e-01	-1.110182286219946413e+00	3.000000000000000000e+00
5.761586470651297587e-01	-1.908209108968651257e+00	2.000000000000000000e+00
-6.977275182456591507e-01	-1.635871930503632221e+00	3.000000000000000000e+00
-8.363124365712912289e-02	-1.494277464602133509e+00	2.000000000000000000e+00
4.238821551121260134e-01	-9.781535359265206564e-01	2.000000000000000000e+00
4.051890267802598644e-01	-3.937010804036179534e-01	3.000000000000000000e+00
6.616877098234876797e-01	-1.703515929743661950e-01	3.000000000000000000e+00
3.480216575065593343e-01	5.781595831719896911e-02	2.000000000000000000e+00
2.340505627732795135e-01	-4.539636550983335295e-01	2.000000000000000000e+00
-1.271273250896660378e-01	1.162468910483525297e+00	3.000000000000000000e+00
-1.060505555209404704e+00	-4.046583246001936307e-01	3.000000000000000000e+00
-1.426604707317888021e+00	9.909069272726390709e-01	2.000000000000000000e+00
-1.593394958651866311e+00	7.455897047242663334e-01	3.000000000000000000e+00
-7.546797456045687413e-01	3.371985762436779943e+00	2.000000000000000000e+00
2.849376956323102505e-01	-9.186112774112498158e-01	3.000000000000000000e+00
8.977368776294387676e-01	8.970694841254783780e-01	2.000000000000000000e+00
1.495141058403961942e+00	1.120083707152035091e+00	2.000000000000000000e+00
2.022911539279430571e+00	1.779743766368099056e+00	2.000000000000000000e+00
1.568048375732606359e-01	-5.308703654916592241e-01	3.000000000000000000e+00
8.661598929614823875e-03	-3.187921556727999484e-01	2.000000000000000000e+00
-4.683097713653853189e-01	-2.704266292835869577e-03	2.000000000000000000e+00
1.252647810383216598e+00	2.069359333108105936e+00	2.000000000000000000e+00
8.444001619329793984e-01	8.774934850137320330e-01	2.000000000000000000e+00
8.215121078528297982e-01	2.433291106899985401e+00	3.000000000000000000e+00
-4.694241168198371450e-01	2.343744156345290541e+00	2.000000000000000000e+00
-1.137730210639465778e+00	1.341880483030343019e+00	2.000000000000000000e+00
-1.389699694772622784e+00	-1.089260745138251885e+00	3.000000000000000000e+00
-2.020217318864752531e+00	-2.587633352674919562e-01	3.000000000000000000e+00
-1.412498875702541845e+00	7.760261969620237954e-01	3.000000000000000000e+00
6.504716005564180337e-02	-1.665272574262883332e+00	2.000000000000000000e+00
-9.459285409382122145e-01	-1.138362870384968639e+00	2.000000000000000000e+00
1.208008999015846713e-01	-1.905108320776595976e+00	2.000000000000000000e+00
7.140758307256731552e-01	-1.994744930397798210e+00	2.000000000000000000e+00
7.577537763937930437e-01	7.617472194146680531e-01	2.000000000000000000e+00
1.183612225006260399e+00	-1.564018737055282049e+00	2.000000000000000000e+00
1.166689124263173394e+00	7.391968597192158374e-02	2.000000000000000000e+00
1.180423346429991360e+00	1.070955136361152249e+00	3.000000000000000000e+00
1.698924642428550902e+00	7.882231888773824080e-01	3.000000000000000000e+00
1.891637738167844862e+00	1.787522679015712546e-01	2.000000000000000000e+00
1.961444507832693418e+00	5.434814297845685926e-01	3.000000000000000000e+00
-6.389991669531513985e-01	-7.216383119949607572e-01	2.000000000000000000e+00
4.323805138982786400e-01	-1.575375823599274971e+00	2.000000000000000000e+00
4.323805138982786400e-01	-1.575375823599274971e+00	2.000000000000000000e+00
4.691805817367096787e-01	-2.046133203265700029e+00	3.000000000000000000e+00
1.962614968237556434e+00	-4.748480058781997526e-01	2.000000000000000000e+00
2.233365147346761503e+00	9.214808301208291530e-01	2.000000000000000000e+00
7.527699469020060485e-01	-7.712177154612732677e-01	3.000000000000000000e+00
-1.184464274024625619e+00	4.441427270107797809e-02	2.000000000000000000e+00
-2.417448533268184541e+00	5.192053630752053728e-01	3.000000000000000000e+00
-2.092927411574284857e+00	-6.694718372098121817e-01	2.000000000000000000e+00
-1.841713303531852253e+00	-3.170253090467088919e-01	3.000000000000000000e+00
-2.154281308540283213e+00	7.402059591786582793e-01	2.000000000000000000e+00
-8.018447766227355944e-02	-9.878665513159712308e-01	2.000000000000000000e+00
-8.018447766227355944e-02	-9.878665513159712308e-01	2.000000000000000000e+00
1.408591707384638569e+00	-1.113298788362871328e+00	3.000000000000000000e+00
3.074994274464928901e-01	2.755037451890199218e+00	3.000000000000000000e+00
-1.643495543655312252e+00	1.778659136541239638e+00	2.000000000000000000e+00
-1.311617752451519792e+00	1.040980772746066485e+00	3.000000000000000000e+00
-9.352132824106385023e-01	8.690029395701798220e-01	2.000000000000000000e+00
-8.683696357060638471e-01	3.516589204501427424e-02	3.000000000000000000e+00
-1.743083867631385786e+00	5.750032070630657355e-01	2.000000000000000000e+00
-4.725235072403290992e-01	2.392459604772892323e+00	3.000000000000000000e+00
-2.251704838927691910e+00	-4.716546871235464122e-01	3.000000000000000000e+00
-1.424516043087278527e+00	1.638644350126088334e+00	2.000000000000000000e+00
-6.064716699103468445e-01	4.049051339337745303e-01	2.000000000000000000e+00
-2.253316511007177780e+00	-2.648960724855458637e-01	2.000000000000000000e+00
-3.356972026265649500e+00	-1.625456849978380358e+00	2.000000000000000000e+00
-2.322945481854848726e+00	3.697124074926213533e-01	3.000000000000000000e+00
-1.665895712202765777e+00	-7.066878345994550559e-01	2.000000000000000000e+00
-2.324234673334744983e+00	-1.637206980924835187e-01	3.000000000000000000e+00
-1.963036491259406047e+00	1.145588281393579155e+00	3.000000000000000000e+00
-9.547156243374121942e-01	2.265702991978750802e+00	2.000000000000000000e+00
-1.022259211056040673e+00	7.155172643668789023e-01	3.000000000000000000e+00
-1.895504784445525059e+00	-1.213088998234878924e+00	3.000000000000000000e+00
2.155473309491771960e+00	3.759419944723874085e-01	2.000000000000000000e+00
-3.741772794906898514e-01	-1.325513808708316699e+00	3.000000000000000000e+00
-1.513891009826730638e+00	-2.107808526565746465e+00	2.000000000000000000e+00
-1.440712639722537158e+00	-2.184201752575332556e+00	3.000000000000000000e+00
-1.219507021333527258e-01	-1.051837750883431788e+00	3.000000000000000000e+00
-1.942343802127684954e-02	-9.796991688588014835e-01	2.000000000000000000e+00
-1.840933427849221482e-01	-5.355801939768078945e-01	2.000000000000000000e+00
-2.528973789154320140e-01	1.095702652480828654e+00	3.000000000000000000e+00
-9.705453684102534340e-02	7.406244096331707771e-01	2.000000000000000000e+00
4.259237976639616563e-01	-1.347943044474986474e+00	3.000000000000000000e+00
8.858194924136618686e-01	1.953529297452120950e-01	3.000000000000000000e+00
-8.511365140340316771e-01	8.771214832967728914e-02	3.000000000000000000e+00
-9.522585415833687561e-01	-1.052560723421172684e+00	3.000000000000000000e+00
-4.439460385179542001e+00	-2.608320674989803578e+00	3.000000000000000000e+00
-2.905417619259230477e+00	-9.716830071416814318e-01	2.000000000000000000e+00
-6.739438326163657011e-01	6.213201143909342639e-01	2.000000000000000000e+00
7.424600990770906517e-01	-9.107562320264345201e-01	3.000000000000000000e+00
1.075895736621673260e+00	-1.164931785345795223e+00	3.000000000000000000e+00
2.003770756688412646e+00	1.158800006206240685e+00	3.000000000000000000e+00
7.454479695691381691e-01	-2.039158515762297785e+00	3.000000000000000000e+00
1.668515538707335821e+00	-1.281758189926742508e+00	3.000000000000000000e+00
1.955861960691004597e+00	1.300335877027790910e-01	2.000000000000000000e+00
1.380800077075327481e+00	-1.793054413013154547e-01	2.000000000000000000e+00
1.791113335403725193e+00	1.295474852251692344e+00	2.000000000000000000e+00
-1.363670439005178148e+00	1.457724722772866244e+00	3.000000000000000000e+00
1.471685257169911831e-01	-1.262072023621603645e+00	3.000000000000000000e+00
-5.282224346002321047e-01	-1.508418997286132601e+00	3.000000000000000000e+00
-5.687289943942887005e-01	-6.929850773377645989e-01	2.000000000000000000e+00
4.426155496821300162e-01	-6.801521712852264256e-01	2.000000000000000000e+00
-1.106187013059310775e+00	1.354746381400238064e+00	2.000000000000000000e+00
-1.442206055380916008e-01	5.354564068824532175e-01	3.000000000000000000e+00
-1.303062189630105339e+00	-7.234835566777193527e-01	3.000000000000000000e+00
4.017716647433676735e-01	-3.981574756440753871e-01	2.000000000000000000e+00
-9.625047942907929421e-01	8.615799117867490864e-01	2.000000000000000000e+00
-1.220380431184264092e+00	1.400240772306563297e+00	2.000000000000000000e+00
-7.964353606175040845e-01	1.288688156230893833e+00	2.000000000000000000e+00
-9.937638947614705343e-01	1.780963537045854306e-01	2.000000000000000000e+00
-4.510371417445883657e-01	-9.532646399973609963e-01	2.000000000000000000e+00
1.051831472200735140e+00	-1.159496566671195827e+00	3.000000000000000000e+00
-6.678110919305584314e-01	-1.094320364471166318e+00	3.000000000000000000e+00
-3.149582645641279544e-01	-8.845325215359368665e-01	3.000000000000000000e+00
-9.116129109975164013e-01	-5.229051382237714929e-01	3.000000000000000000e+00
1.599915983781749373e+00	-3.292974542119292414e-01	2.000000000000000000e+00
1.157567808499583989e-01	-7.927962773765727666e-01	2.000000000000000000e+00
6.068265791108118368e-01	-1.183334658813740559e+00	3.000000000000000000e+00
-4.587513957161920009e-01	3.545909533861899554e-01	2.000000000000000000e+00
8.181501305733037688e-01	1.354029636703547146e+00	2.000000000000000000e+00
-2.179848778932303333e+00	-1.015757410822268447e+00	2.000000000000000000e+00
7.875201656200962741e-02	3.756007552437089919e-02	3.000000000000000000e+00
-5.490061647172609360e-01	-7.383212734451377601e-01	3.000000000000000000e+00
4.913633958392849554e-01	3.486260635928765672e-01	2.000000000000000000e+00
1.136014018395141267e+00	-7.548234143889180903e-01	2.000000000000000000e+00
-2.097034300436370291e+00	4.978132289262622856e-01	3.000000000000000000e+00
-1.954821451777835950e+00	8.781705446395049464e-01	3.000000000000000000e+00
8.960193371505673632e-01	-9.868984343069434617e-01	2.000000000000000000e+00
1.014046375424497048e+00	-6.854037267751000861e-01	2.000000000000000000e+00
4.614883422215668718e-01	2.269296992243510669e+00	2.000000000000000000e+00
-2.684399016034424296e-02	-1.688782460171110111e+00	3.000000000000000000e+00
-7.460335802726150711e-02	-1.013933812631897302e+00	2.000000000000000000e+00
-5.335725776361174288e-01	-7.833427890050889131e-01	2.000000000000000000e+00
2.729737977195352827e-01	6.817981201204669217e-01	3.000000000000000000e+00
-6.861129433355355189e-01	-2.002511897035573529e+00	3.000000000000000000e+00
-1.211314452389988139e+00	7.492567476070777222e-01	2.000000000000000000e+00
-1.146895256555354958e+00	1.135865250196336662e+00	2.000000000000000000e+00
-5.903622527759230798e-02	-3.411110709535117858e-01	3.000000000000000000e+00
-4.397623126729033327e-02	-9.701786206679062496e-02	3.000000000000000000e+00
-1.690732804194388927e-01	1.561623944726395763e-01	2.000000000000000000e+00
-2.352819425650871654e+00	-8.465382687577215348e-01	3.000000000000000000e+00
-2.368455679450071738e+00	-5.102623239366588237e-01	2.000000000000000000e+00
-7.252847299414335591e-01	4.536308355397652980e-01	3.000000000000000000e+00
-1.554273799302737791e+00	1.229325970184713679e-01	3.000000000000000000e+00
-2.247594776314314480e+00	-5.641628104449804004e-01	2.000000000000000000e+00
-1.821672504248214475e+00	1.569807419184093389e+00	2.000000000000000000e+00
-1.530921104740170235e-01	1.594480892264078964e+00	2.000000000000000000e+00
-1.249954075455533831e+00	-7.114578133675264482e-01	2.000000000000000000e+00
6.237415906563986701e-01	-2.364933177458808711e+00	3.000000000000000000e+00
-1.445770712326445384e+00	-5.478638859185005483e-01	2.000000000000000000e+00
5.023460830816921519e-01	-1.725392411284742300e+00	3.000000000000000000e+00
7.753148939594295408e-01	2.564406977428198342e+00	2.000000000000000000e+00
1.489388167390572004e+00	1.550184843832990156e+00	2.000000000000000000e+00
1.489388167390572004e+00	1.550184843832990156e+00	2.000000000000000000e+00
8.864383571703996489e-01	2.545711733284095057e+00	2.000000000000000000e+00
9.581811857329596283e-01	-1.760963226301969220e+00	3.000000000000000000e+00
-1.387721000417467154e+00	-2.991458863236138743e+00	3.000000000000000000e+00
8.860773817854791234e-01	6.282660734721171591e-01	3.000000000000000000e+00
1.249807279285617190e+00	-8.807759200178961745e-01	3.000000000000000000e+00
3.216364518229075653e-01	-1.724457336585950795e+00	3.000000000000000000e+00
-2.339671924765675204e+00	-6.785655429424001239e-01	2.000000000000000000e+00
-2.308167229562049005e+00	-8.072670440191755947e-01	2.000000000000000000e+00
-1.740159537786080124e+00	1.073767354486879100e+00	3.000000000000000000e+00
-2.187043126931286441e+00	1.894951588583317026e+00	2.000000000000000000e+00
6.416137793933003319e-01	-8.584986959166273079e-01	3.000000000000000000e+00
4.874120728442178918e-01	-1.018292840213438355e-01	3.000000000000000000e+00
-7.204242216613070404e-01	-4.619082360631368012e-01	2.000000000000000000e+00
-7.191892163695036144e-01	-1.252988908469423013e+00	2.000000000000000000e+00
-4.349329109102970659e-01	-6.679313907278746631e-01	2.000000000000000000e+00
2.044717356147794998e-02	-1.149373099658010933e+00	2.000000000000000000e+00
1.107300239224405125e+00	9.701966753283012279e-01	2.000000000000000000e+00
8.601733410233329546e-02	-9.282110918673581734e-01	3.000000000000000000e+00
-2.806822761875007316e-02	-1.522549956639988489e+00	3.000000000000000000e+00
-2.756275531091370024e-01	-1.715621023045489357e+00	2.000000000000000000e+00
-8.435545260908054732e-02	-2.804764018322682961e-01	3.000000000000000000e+00
-1.528942181753964569e+00	2.091797684344523234e-01	3.000000000000000000e+00
9.985810540123488677e-01	-1.368247559953259973e+00	2.000000000000000000e+00
3.369171330917127283e-01	-1.235640728233732055e+00	3.000000000000000000e+00
1.998085190891766005e-01	1.663740739902978272e-01	2.000000000000000000e+00
4.465533166919351538e-01	-1.189190405800719663e+00	2.000000000000000000e+00
4.186138899425914661e-01	-1.104981307765263487e+00	2.000000000000000000e+00
1.218075102400436593e+00	1.601258076791683305e+00	2.000000000000000000e+00
5.567798685254069513e-01	7.676495100311290232e-01	2.000000000000000000e+00
-6.951797432205526761e-02	-4.973114064464950190e-01	2.000000000000000000e+00
-3.374481464637195116e-01	1.871732830737030395e-01	3.000000000000000000e+00
-6.076575697508043161e-01	-1.577074685987384539e+00	3.000000000000000000e+00
-7.368847753961552671e-01	-1.219033649288230881e-01	3.000000000000000000e+00
-1.997566853655533103e+00	3.711274869019367539e-01	2.000000000000000000e+00
1.124478416005238568e+00	-4.826727102206840869e-01	2.000000000000000000e+00
1.183007786021072372e+00	-2.124867267913705116e-01	2.000000000000000000e+00
3.096197518696691131e-01	-2.010865229997477854e+00	3.000000000000000000e+00
