State,Day,Night
AL,512,216
AR,37,20
AZ,1216,506
CA,7558,3931
CO,882,265
CT,386,142
DC,79,45
DE,79,55
FL,3649,1274
GA,1306,639
IA,253,117
ID,19,11
IL,1337,795
IN,766,440
KS,168,40
KY,447,283
LA,1116,345
MA,587,256
MD,688,344
ME,19,12
MI,1531,905
MN,1293,572
MO,556,254
MS,198,38
MT,48,9
NC,3917,1151
ND,1,0
NE,416,137
NH,192,70
NJ,823,428
NM,169,28
NV,182,76
NY,1684,956
OH,809,453
OK,1135,425
OR,526,275
PA,1068,480
RI,166,63
SC,3877,1291
TN,1408,555
TX,5632,2130
UT,683,268
VA,1264,593
VT,17,5
WA,846,536
WI,283,147
WV,29,11
WY,9,4
