State,Day,Night
AL,1044,122
AR,33,1
AZ,2012,386
CA,11905,3434
CO,1075,173
CT,375,48
DC,40,7
DE,81,21
FL,4965,1179
GA,1992,411
IA,163,11
ID,36,6
IL,1640,345
IN,870,160
KS,176,18
KY,577,120
LA,1606,163
MA,714,38
MD,524,125
ME,92,11
MI,1509,299
MN,1497,176
MO,532,109
MS,197,13
MT,3,0
NC,3901,418
ND,1,0
NE,473,48
NH,175,18
NJ,756,158
NM,159,15
NV,235,26
NY,2169,514
OH,863,198
OK,1649,265
OR,2619,627
PA,1464,212
RI,304,9
SC,3475,634
SD,1,0
TN,1930,293
TX,5818,1129
UT,620,105
VA,1769,260
VT,7,1
WA,1402,305
WI,260,40
WV,9,5
WY,4,3
