Start_Time,State,Day,Night
8,AZ,2012,386
8,CA,11905,3434
8,CO,1075,173
8,CT,375,48
8,DC,40,7
8,DE,81,21
8,FL,4965,1179
8,GA,1992,411
8,IA,163,11
8,ID,36,6
8,IL,1640,345
8,IN,870,160
8,KS,176,18
8,KY,577,120
8,LA,1606,163
8,MA,714,38
8,MD,524,125
8,ME,92,11
8,MI,1509,299
8,MN,1497,176
8,MO,532,109
8,MS,197,13
8,MT,3,0
8,NC,3901,418
8,ND,1,0
8,NE,473,48
8,NH,175,18
8,NJ,756,158
8,NM,159,15
8,NV,235,26
8,NY,2169,514
8,OH,863,198
8,OK,1649,265
8,OR,2619,627
8,PA,1464,212
8,RI,304,9
8,SC,3475,634
8,SD,1,0
8,TN,1930,293
8,TX,5818,1129
8,UT,620,105
8,VA,1769,260
8,VT,7,1
8,WA,1402,305
8,WI,260,40
8,WV,9,5
8,WY,4,3
9,AL,1157,194
9,AR,58,9
9,AZ,1380,406
9,CA,10452,3698
9,CO,1062,228
9,CT,434,92
9,DC,46,19
9,DE,33,11
9,FL,3659,1213
9,GA,1405,436
9,IA,115,8
9,ID,34,5
9,IL,1783,387
9,IN,1153,267
9,KS,155,49
9,KY,579,134
9,LA,1461,193
9,MA,574,142
9,MD,519,220
9,ME,62,18
9,MI,1421,429
9,MN,1279,265
9,MO,474,155
9,MS,221,23
9,MT,5,0
9,NC,3335,715
9,ND,1,0
9,NE,444,70
9,NH,141,37
9,NJ,917,250
9,NM,178,17
9,NV,158,42
9,NY,2348,775
9,OH,1233,385
9,OK,1149,269
9,OR,2559,808
9,PA,1473,342
9,RI,281,42
9,SC,2918,688
9,SD,1,0
9,TN,1797,353
9,TX,4918,1670
9,UT,598,143
9,VA,1835,473
9,VT,14,4
9,WA,1037,329
9,WI,290,58
9,WV,39,19
9,WY,5,3
10,AL,1346,383
10,AR,49,15
10,AZ,1427,497
10,CA,9906,4584
10,CO,924,399
10,CT,422,193
10,DC,32,34
10,DE,119,66
10,FL,4751,2009
10,GA,1541,837
10,IA,144,52
10,ID,22,18
10,IL,1963,786
10,IN,1130,460
10,KS,179,57
10,KY,525,210
10,LA,1383,340
10,MA,702,271
10,MD,696,403
10,ME,52,12
10,MI,1263,738
10,MN,1158,523
10,MO,552,266
10,MS,204,30
10,MT,10,2
10,NC,4049,1344
10,NE,475,158
10,NH,149,52
10,NJ,841,455
10,NM,168,27
10,NV,153,69
10,NY,2674,1352
10,OH,1596,864
10,OK,1309,439
10,OR,1912,1028
10,PA,1558,681
10,RI,266,53
10,SC,3725,1340
10,SD,0,1
10,TN,1758,784
10,TX,5425,2474
10,UT,640,251
10,VA,2562,941
10,VT,13,2
10,WA,723,648
10,WI,318,124
10,WV,67,23
10,WY,5,6
11,AL,975,743
11,AR,55,40
11,AZ,1535,718
11,CA,6930,5547
11,CO,991,540
11,CT,364,230
11,DC,30,23
11,DE,97,45
11,FL,3688,2013
11,GA,1465,867
11,IA,108,120
11,ID,12,16
11,IL,1299,951
11,IN,321,218
11,KS,191,82
11,KY,436,237
11,LA,1179,377
11,MA,580,361
11,MD,771,326
11,ME,48,31
11,MI,1091,837
11,MN,911,966
11,MO,561,386
11,MS,186,51
11,MT,7,1
11,NC,3637,1025
11,ND,0,1
11,NE,299,167
11,NH,199,123
11,NJ,873,587
11,NM,152,65
11,NV,142,108
11,NY,2424,1644
11,OH,1183,981
11,OK,1197,664
11,OR,1981,1821
11,PA,1378,652
11,RI,189,133
11,SC,2909,1374
11,SD,2,0
11,TN,1463,789
11,TX,5128,2430
11,UT,847,610
11,VA,1835,1171
11,VT,17,10
11,WA,701,773
11,WI,455,211
11,WV,67,38
11,WY,11,60
12,AL,851,801
12,AR,53,27
12,AZ,1190,717
12,CA,4452,3130
12,CO,749,553
12,CT,285,224
12,DC,31,38
12,DE,121,44
12,FL,3419,1885
12,GA,1307,895
12,IA,100,115
12,ID,11,19
12,IL,770,733
12,IN,373,348
12,KS,61,94
12,KY,330,224
12,LA,1085,380
12,MA,357,344
12,MD,486,427
12,ME,28,23
12,MI,755,701
12,MN,992,905
12,MO,321,328
12,MS,185,62
12,MT,8,6
12,NC,3223,970
12,NE,296,208
12,NH,111,85
12,NJ,653,535
12,NM,105,59
12,NV,116,141
12,NY,1576,1401
12,OH,777,776
12,OK,945,623
12,OR,2009,2165
12,PA,974,644
12,RI,122,102
12,SC,2525,1558
12,SD,2,1
12,TN,1140,619
12,TX,4519,2493
12,UT,1355,1231
12,VA,1426,1251
12,VT,15,7
12,WA,645,907
12,WI,269,195
12,WV,44,31
12,WY,15,1
