State,Day,Night
AL,904,145
AR,36,16
AZ,1431,275
CA,10723,3046
CO,820,135
CT,470,85
DC,79,14
DE,92,26
FL,4334,1161
GA,1507,396
IA,201,30
ID,26,5
IL,1219,346
IN,874,226
KS,167,17
KY,539,83
LA,1879,219
MA,534,57
MD,708,189
ME,37,2
MI,1613,444
MN,1374,400
MO,617,124
MS,183,9
MT,11,2
NC,4671,695
NE,380,65
NH,125,12
NJ,1064,172
NM,146,8
NV,159,37
NY,2352,515
OH,925,215
OK,1412,304
OR,527,84
PA,1460,309
RI,212,13
SC,4522,872
TN,1850,335
TX,5927,1124
UT,528,107
VA,1371,294
VT,12,0
WA,1204,291
WI,317,67
WV,50,12
WY,9,4
