State,Severity,End_Time,Temperature(F),Wind_Chill(F),Visibility(mi),Precipitation(in)
MN,3,2,28.9,16.9,8.0,0.01
IA,3,2,28.0,17.5,7.0,0.0
IL,2,2,36.0,30.3,5.0,0.01
MI,2,3,33.1,26.1,1.5,0.0
MI,3,3,28.0,18.1,6.0,0.0
PA,2,3,35.1,25.5,1.5,0.01
NJ,2,3,34.0,23.8,0.5,0.1
MI,2,4,28.9,16.1,9.0,0.0
NY,2,4,28.9,21.1,9.0,0.0
NY,3,5,32.0,23.0,0.1,0.02
VA,3,1,33.1,28.7,0.2,0.13
VA,3,1,33.1,25.5,1.2,0.11
SC,3,1,39.9,34.5,7.0,0.1
TN,3,1,34.0,25.5,10.0,0.0
MA,2,2,34.0,21.8,0.2,0.0
NY,3,2,28.9,22.8,1.5,0.0
NY,2,2,30.9,21.7,2.5,0.0
NY,2,2,33.1,19.8,1.2,0.0
NY,2,3,27.0,18.7,2.0,0.0
NY,3,3,30.0,20.5,0.5,0.0
NY,2,3,30.0,18.7,0.8,0.04
NC,2,3,32.0,27.5,10.0,0.0
NV,3,5,33.1,25.5,10.0,0.0
PA,3,2,30.0,20.5,0.5,0.02
VA,3,2,35.1,24.8,6.0,0.07
MD,3,2,34.0,25.0,10.0,0.0
SC,3,3,37.4,32.8,5.0,0.03
OR,3,5,41.0,33.9,10.0,0.02
WA,2,5,44.6,38.8,10.0,0.0
IA,3,6,32.0,20.8,2.0,0.0
SC,2,1,41.0,34.7,10.0,0.0
MO,3,1,45.0,42.6,5.0,0.0
MN,2,1,36.0,30.3,7.0,0.01
MO,3,4,46.0,40.6,5.0,0.02
OH,2,5,37.9,30.9,3.0,0.0
NY,2,4,30.9,22.2,10.0,0.0
WA,3,4,44.1,41.5,10.0,0.0
WA,3,4,45.0,43.5,6.0,0.04
VA,3,5,41.0,35.8,10.0,0.01
NY,3,6,14.0,2.9,2.0,0.01
MN,2,6,15.1,4.2,0.2,0.01
MN,2,6,15.1,4.2,0.2,0.01
TN,2,7,43.0,39.5,9.0,0.0
OH,3,1,18.0,12.7,7.0,0.0
IL,2,1,9.0,-2.2,0.5,0.01
NY,3,2,21.0,9.9,7.0,0.0
MI,2,3,16.0,5.3,6.0,0.0
CT,3,3,35.1,30.1,1.0,0.07
KY,3,3,30.0,20.0,3.0,0.0
TN,3,3,35.1,26.4,1.0,0.0
MI,2,5,16.0,7.4,2.0,0.01
MI,3,5,16.0,6.3,0.5,0.0
MI,3,5,18.0,6.1,0.8,0.01
MI,3,5,23.0,15.8,1.2,0.0
MI,2,5,21.2,13.6,0.8,0.03
WI,3,5,12.9,-2.2,8.0,0.01
TX,3,7,27.9,16.8,10.0,0.02
PA,2,2,28.0,20.8,10.0,0.0
TN,3,2,39.9,36.7,5.0,0.0
TX,2,2,43.0,41.3,7.0,0.0
WA,3,6,44.6,37.2,7.0,0.01
NC,2,1,42.1,40.2,1.5,0.0
MN,3,1,21.0,8.1,3.0,0.01
IN,2,3,37.9,32.1,10.0,0.02
PA,2,4,32.0,23.0,10.0,0.0
PA,2,4,37.4,31.4,10.0,0.0
KY,3,4,43.0,38.8,6.0,0.02
MO,3,4,28.9,21.9,7.0,0.0
DC,3,5,41.0,37.1,3.0,0.0
OK,2,5,42.1,37.1,4.0,0.14
MO,3,6,43.0,33.8,7.0,0.2
PA,3,7,45.0,40.6,8.0,0.02
NC,2,1,46.0,42.5,10.0,0.0
CA,2,1,32.0,23.6,0.5,0.09
CA,2,2,43.0,41.3,10.0,0.01
IL,3,3,16.0,2.9,6.0,0.0
MA,2,4,21.0,8.6,0.8,0.0
NY,3,4,24.1,8.3,0.2,0.09
PA,2,4,19.9,9.3,8.0,0.0
NY,2,5,1.9,-15.5,1.5,0.0
OR,2,5,46.0,39.3,10.0,0.0
NJ,2,6,10.0,-8.6,10.0,0.0
WA,3,7,44.1,40.8,10.0,0.02
MA,2,1,30.9,22.8,2.5,0.0
MI,3,1,28.9,19.2,1.2,0.03
PA,3,1,32.0,20.8,1.0,0.0
VA,2,1,37.6,33.1,5.0,0.02
IN,2,1,34.0,26.6,9.0,0.01
TN,2,1,41.0,39.0,0.2,0.0
NY,3,2,46.4,44.3,10.0,0.01
MN,2,4,8.1,-9.0,0.8,0.04
MN,2,4,19.9,5.2,0.5,0.0
WA,2,4,42.1,38.4,2.5,0.0
OH,3,5,32.0,20.1,3.0,0.08
KY,2,5,46.0,38.5,2.0,0.06
AL,2,5,37.9,30.5,9.0,0.0
MN,3,7,10.9,-5.4,3.0,0.0
MN,3,7,16.0,4.4,1.0,0.01
IL,3,7,18.0,4.8,3.0,0.0
KY,3,1,21.0,10.6,10.0,0.0
IL,3,1,19.4,9.5,2.0,0.0
MI,2,2,15.1,3.3,3.0,0.0
MI,2,2,16.0,4.4,1.0,0.01
NY,2,3,34.0,28.8,1.5,0.03
NY,2,3,35.1,27.9,5.0,0.01
NY,3,3,32.0,23.6,7.0,0.0
MA,2,3,34.0,28.0,2.0,0.03
KY,2,3,10.0,-1.9,3.0,0.0
SC,3,3,42.1,38.4,10.0,0.0
NE,3,3,2.8,-6.6,10.0,0.0
MN,2,1,27.0,13.9,1.0,0.0
MN,3,1,26.1,14.0,1.0,0.1
