State,Day,Night
AL,547,214
AR,18,5
AZ,1370,797
CA,7104,5260
CO,705,434
CT,361,234
DC,58,50
DE,44,53
FL,3466,1669
GA,1265,757
IA,118,90
ID,4,4
IL,1230,1076
IN,879,771
KS,174,88
KY,367,317
LA,1156,363
MA,626,373
MD,567,495
ME,37,17
MI,1471,1301
MN,1317,928
MO,467,303
MS,169,29
MT,20,6
NC,3461,1666
ND,0,0
NE,404,208
NH,131,106
NJ,805,461
NM,129,25
NV,98,58
NY,2007,1369
OH,801,688
OK,1245,537
OR,405,350
PA,1188,742
RI,202,90
SC,3469,1687
SD,2,3
TN,1296,556
TX,4676,1960
UT,371,267
VA,1271,958
VT,11,8
WA,733,813
WI,275,234
WV,30,15
WY,7,6
