State,Day,Night
AL,1157,194
AR,58,9
AZ,1380,406
CA,10452,3698
CO,1062,228
CT,434,92
DC,46,19
DE,33,11
FL,3659,1213
GA,1405,436
IA,115,8
ID,34,5
IL,1783,387
IN,1153,267
KS,155,49
KY,579,134
LA,1461,193
MA,574,142
MD,519,220
ME,62,18
MI,1421,429
MN,1279,265
MO,474,155
MS,221,23
MT,5,0
NC,3335,715
ND,1,0
NE,444,70
NH,141,37
NJ,917,250
NM,178,17
NV,158,42
NY,2348,775
OH,1233,385
OK,1149,269
OR,2559,808
PA,1473,342
RI,281,42
SC,2918,688
SD,1,0
TN,1797,353
TX,4918,1670
UT,598,143
VA,1835,473
VT,14,4
WA,1037,329
WI,290,58
WV,39,19
WY,5,3
