State,End_Time,Severity,Temperature(F),Wind_Chill(F),Visibility(mi),Precipitation(in)
IL,5,2,42.1,36.1,5.0,0.0
OK,5,2,37.0,31.0,2.0,0.03
OR,5,3,37.9,32.1,10.0,0.0
TN,1,2,46.0,43.9,6.0,0.01
NC,1,2,46.0,42.5,10.0,0.0
CA,1,3,46.0,41.0,5.0,0.04
WA,2,2,39.9,36.7,9.0,0.05
FL,1,3,37.0,29.3,10.0,0.0
FL,1,3,46.0,41.4,4.0,0.01
MI,2,2,17.1,-1.4,9.0,0.0
MI,2,2,10.9,-6.5,6.0,0.0
NY,2,2,17.1,2.0,9.0,0.0
MI,3,3,8.1,-7.0,1.5,0.0
MI,3,2,12.9,1.6,1.0,0.0
MI,3,2,12.9,1.6,1.0,0.0
FL,3,2,44.1,37.1,4.0,0.07
FL,3,2,43.0,32.7,2.5,0.12
SC,3,3,30.0,18.7,6.0,0.07
SC,3,3,30.0,18.7,6.0,0.07
IL,3,2,15.1,3.3,4.0,0.0
RI,4,3,27.0,9.6,0.2,0.02
MI,4,2,7.0,-10.4,6.0,0.0
NY,4,3,21.0,6.6,0.5,0.03
PA,4,2,26.1,11.3,1.5,0.0
NY,4,3,24.1,13.7,0.5,0.06
NJ,4,2,23.0,9.6,0.5,0.0
PA,4,3,16.0,-3.2,1.5,0.0
NY,4,2,23.0,5.4,0.5,0.0
NY,4,3,21.9,2.9,0.5,0.0
PA,4,3,15.1,0.5,3.0,0.0
PA,4,2,21.9,10.4,2.0,0.0
PA,4,2,23.0,9.6,10.0,0.0
VA,4,2,23.0,6.9,10.0,0.0
MD,4,2,25.0,9.9,2.0,0.0
IN,4,3,1.9,-13.8,10.0,0.0
SC,4,2,21.9,11.7,10.0,0.0
MA,5,3,14.0,-3.0,10.0,0.0
RI,5,3,12.9,-5.3,10.0,0.0
NY,6,3,1.0,-14.9,0.8,0.0
NY,6,3,-0.0,-19.4,0.5,0.01
IL,7,3,26.1,14.5,7.0,0.0
TN,7,2,39.9,32.5,10.0,0.0
NJ,1,2,28.9,18.6,9.0,0.0
PA,1,3,32.0,22.1,9.0,0.0
OH,1,2,33.8,22.8,2.0,0.0
VA,1,3,36.0,28.0,10.0,0.0
IN,1,2,34.0,26.6,9.0,0.01
NC,1,2,37.9,34.4,10.0,0.0
TN,1,2,42.8,39.3,1.5,0.02
NY,2,3,32.0,24.8,10.0,0.0
WA,2,3,45.0,40.6,6.0,0.01
OR,2,3,41.0,38.0,6.0,0.02
IN,3,2,37.0,30.4,0.5,0.0
IL,3,2,36.0,28.5,1.2,0.01
UT,3,3,40.3,33.4,4.0,0.07
NV,3,2,39.9,37.8,9.0,0.0
SC,4,3,45.0,41.8,3.0,0.01
MN,4,2,21.0,5.7,2.0,0.0
WA,4,3,46.0,43.9,3.0,0.09
MI,5,2,25.0,11.7,1.0,0.09
MI,5,3,21.0,6.6,4.0,0.0
MI,5,3,21.9,6.9,10.0,0.0
IN,5,2,24.1,9.0,6.0,0.07
OH,5,2,37.9,28.9,7.0,0.07
OH,5,2,33.1,21.9,5.0,0.0
OH,5,3,30.0,17.5,2.0,0.0
OH,5,2,30.9,19.1,1.5,0.01
OH,5,3,24.1,5.4,0.8,0.0
TN,5,3,37.9,30.0,3.0,0.18
TN,5,2,27.0,15.6,1.0,0.01
TN,5,3,23.0,9.6,0.5,0.0
TN,5,3,23.0,11.1,1.5,0.0
MI,1,2,15.1,4.2,4.0,0.01
MI,1,3,17.1,6.6,2.0,0.0
IN,1,2,19.0,5.6,9.0,0.0
IN,1,2,18.0,6.9,1.8,0.01
OH,1,3,19.0,8.2,10.0,0.0
IN,1,2,19.9,9.3,2.0,0.01
KY,1,3,19.0,8.2,2.0,0.0
OH,1,3,18.0,11.1,2.5,0.0
OH,1,3,19.0,6.8,1.8,0.01
OH,1,3,27.0,15.6,2.0,0.01
MN,1,3,3.9,-15.0,7.0,0.0
IL,1,2,18.0,6.1,1.5,0.0
IL,1,2,19.9,8.6,5.0,0.0
IL,1,2,19.4,9.5,4.0,0.0
IL,1,2,24.1,16.0,1.5,0.0
CO,1,2,23.0,14.7,3.0,0.0
CO,1,2,17.4,7.1,6.0,0.0
CO,1,2,17.1,6.6,3.0,0.0
MI,2,2,16.0,4.4,1.0,0.01
MI,2,2,10.0,3.6,6.0,0.0
NY,2,2,16.0,8.8,9.0,0.0
NY,2,2,24.1,15.2,5.0,0.0
NY,2,2,24.1,15.2,4.0,0.01
NY,2,3,17.1,11.7,8.0,0.0
OH,2,3,23.0,13.9,1.2,0.0
PA,2,3,25.0,17.1,0.8,0.0
IL,2,2,17.1,5.8,1.8,0.0
IL,2,2,17.1,5.8,6.0,0.0
TX,2,3,29.7,17.8,10.0,0.01
TX,2,2,30.0,17.5,10.0,0.0
TX,2,2,27.0,13.2,10.0,0.0
TX,2,3,27.0,13.9,10.0,0.02
TX,2,2,27.0,13.5,10.0,0.0
TX,2,2,26.1,10.4,10.0,0.0
MS,2,3,21.2,9.5,0.8,0.0
AL,2,3,23.0,12.4,1.8,0.0
TN,2,2,16.0,7.4,10.0,0.01
TN,2,3,15.1,1.1,1.0,0.01
TX,2,2,26.1,15.0,7.0,0.0
NY,3,3,17.1,1.0,4.0,0.0
MA,3,2,32.0,27.5,0.5,0.0
MA,3,3,32.0,25.6,4.0,0.0
CT,3,3,30.0,25.2,2.5,0.0
NY,3,3,23.0,11.1,1.0,0.01
OH,3,3,7.0,-5.7,2.5,0.0
VA,3,2,30.9,26.2,3.0,0.0
PA,3,2,24.1,12.0,1.0,0.0
PA,3,2,19.9,12.1,10.0,0.0
OH,3,3,8.1,-2.0,5.0,0.0
SC,3,2,28.0,17.0,9.0,0.0
VA,3,2,25.0,14.2,2.5,0.01
NC,3,2,24.1,13.1,10.0,0.0
LA,3,2,21.0,6.2,10.0,0.0
LA,3,2,21.0,6.2,10.0,0.0
WA,6,3,43.0,36.4,10.0,0.02
PA,1,3,37.4,32.8,3.0,0.0
MN,1,2,30.9,20.7,0.5,0.0
MN,1,2,28.9,15.8,0.2,0.02
WA,1,3,40.5,34.1,10.0,0.0
CA,1,2,46.0,40.2,3.0,0.01
NH,2,2,33.8,30.8,2.5,0.01
NY,2,2,46.0,41.4,10.0,0.01
OH,2,2,39.0,31.4,10.0,0.0
OH,2,2,39.9,31.1,10.0,0.0
WA,2,3,41.0,39.0,8.0,0.05
WA,2,2,44.1,42.5,5.0,0.03
NY,3,2,21.9,7.8,6.0,0.0
IN,3,2,36.0,31.1,9.0,0.0
OH,3,3,32.2,24.4,4.0,0.0
IL,3,2,30.0,26.5,10.0,0.0
WA,3,2,45.0,38.9,10.0,0.02
OR,3,2,46.0,44.8,3.0,0.06
WA,4,3,41.0,38.0,10.0,0.0
WA,4,3,42.1,35.7,10.0,0.0
CA,4,3,44.1,40.8,10.0,0.02
OR,5,2,37.9,30.5,10.0,0.01
MI,1,3,25.0,17.1,3.0,0.0
MI,1,2,25.0,14.8,1.5,0.0
MI,1,3,25.0,13.1,0.5,0.0
MI,1,2,26.1,14.5,1.5,0.01
MI,1,2,16.0,4.4,10.0,0.0
NC,1,2,46.0,41.0,3.0,0.03
NC,1,2,44.1,39.0,5.0,0.01
NC,1,3,41.0,33.5,10.0,0.0
MA,2,3,19.9,7.9,0.8,0.0
MA,2,2,24.1,15.2,2.5,0.0
NY,2,3,19.9,9.3,0.8,0.0
NY,2,3,19.9,8.6,1.0,0.0
NY,2,2,28.0,22.8,2.0,0.0
OH,2,3,17.1,3.6,10.0,0.0
UT,5,2,35.1,27.4,6.0,0.01
OR,5,2,45.0,40.1,10.0,0.04
WA,5,2,46.4,42.9,10.0,0.03
OR,6,2,44.1,40.8,10.0,0.01
MI,7,4,45.0,37.9,10.0,0.0
IL,2,3,30.0,21.7,10.0,0.0
CA,4,2,42.1,36.1,10.0,0.0
GA,5,2,45.0,42.6,9.0,0.0
TX,6,3,42.1,36.1,4.0,0.01
OR,7,2,37.0,26.2,3.0,0.09
OR,7,2,37.0,26.2,3.0,0.09
NC,1,2,35.1,26.9,4.0,0.02
NC,1,2,33.1,28.7,10.0,0.0
PA,3,3,27.0,20.5,4.0,0.0
UT,3,2,28.9,19.2,0.5,0.01
UT,3,2,28.9,19.2,0.5,0.01
UT,3,2,28.9,25.2,2.0,0.06
NY,4,2,24.1,18.2,1.0,0.01
OR,5,2,44.1,37.7,10.0,0.0
NC,6,2,43.0,38.8,2.0,0.04
MA,7,2,44.1,36.5,10.0,0.0
NY,4,2,42.1,36.6,2.0,0.03
IL,4,3,44.1,40.1,1.5,0.01
TN,5,4,39.0,31.4,10.0,0.0
OR,7,2,33.8,30.8,10.0,0.02
OR,1,2,43.0,40.3,2.5,0.22
OR,3,2,42.1,39.2,4.0,0.03
DC,5,4,44.1,42.5,4.0,0.0
UT,4,2,26.6,19.1,3.0,0.0
UT,4,2,26.1,14.5,3.0,0.0
MI,5,2,36.0,26.7,10.0,0.0
WA,5,4,39.9,37.8,10.0,0.0
OR,5,2,45.0,42.6,10.0,0.01
WA,5,2,37.9,34.4,6.0,0.04
OR,5,2,45.0,43.5,5.0,0.06
MI,7,4,26.6,19.1,10.0,0.0
UT,7,2,28.0,24.2,10.0,0.0
MI,1,2,41.0,39.0,0.5,0.0
DE,1,2,43.0,39.5,7.0,0.0
DE,1,2,45.0,41.2,6.0,0.03
IL,1,2,39.0,34.8,1.0,0.11
IL,1,3,37.9,30.0,1.8,0.07
IL,1,3,35.1,25.9,10.0,0.03
TX,1,3,39.4,36.1,10.0,0.02
CO,1,3,9.0,-6.6,1.5,0.0
AZ,1,2,43.0,37.7,7.0,0.02
ME,5,2,44.6,41.4,5.0,0.0
NY,6,3,43.0,34.5,10.0,0.0
WI,2,2,43.0,35.1,10.0,0.01
MO,2,2,46.0,44.8,10.0,0.01
MN,3,2,32.0,22.1,10.0,0.01
MI,6,4,27.0,14.3,6.0,0.0
WI,5,2,30.2,24.3,0.8,0.01
TN,5,2,42.1,39.2,2.5,0.05
TN,5,2,42.1,39.2,2.5,0.05
OH,6,4,28.9,16.5,8.0,0.0
CO,7,3,23.0,11.7,1.2,0.0
CO,7,3,21.0,9.3,2.0,0.01
MO,1,3,27.0,16.1,1.0,0.0
TX,1,2,46.0,40.2,5.0,0.05
NY,2,2,42.1,38.4,2.0,0.0
OH,4,4,30.9,23.5,4.0,0.04
VA,4,2,37.0,29.8,10.0,0.0
OH,4,2,32.9,27.5,3.0,0.01
MD,4,2,28.4,23.3,1.0,0.01
VA,4,2,30.0,22.4,4.0,0.03
VA,4,4,32.0,27.5,2.5,0.01
NJ,4,2,36.0,28.5,7.0,0.16
NC,4,2,39.0,29.6,6.0,0.11
MO,4,2,32.0,26.4,5.0,0.16
NY,5,2,28.0,15.7,1.0,0.01
NY,5,2,30.9,23.5,0.8,0.03
NY,5,2,28.9,25.2,1.2,0.0
UT,6,3,39.9,35.1,7.0,0.01
RI,2,2,35.6,28.0,4.0,0.0
NH,2,2,32.0,26.4,0.5,0.04
OR,3,2,44.1,39.5,10.0,0.04
OR,3,2,35.1,29.3,5.0,0.06
OR,4,2,36.0,30.3,5.0,0.0
NV,4,3,37.9,34.4,10.0,0.01
NV,4,3,37.9,33.5,10.0,0.01
GA,5,4,46.0,40.6,2.0,0.01
IL,5,3,45.0,40.6,10.0,0.0
OR,5,2,37.0,28.9,10.0,0.0
MI,6,4,41.0,33.5,7.0,0.07
IL,6,3,45.0,40.6,9.0,0.04
RI,1,2,44.6,42.2,10.0,0.0
NY,2,2,37.9,30.9,10.0,0.01
NH,2,2,34.0,31.0,0.2,0.01
OH,2,2,28.0,17.5,10.0,0.0
ID,2,2,39.0,34.0,10.0,0.0
MI,5,4,44.1,40.1,6.0,0.0
MI,1,3,45.0,36.4,10.0,0.0
NH,6,2,35.1,29.3,1.5,0.14
OH,6,4,45.0,38.9,6.0,0.02
CT,1,2,46.0,44.8,10.0,0.04
OH,2,2,28.0,20.0,10.0,0.0
NJ,1,2,33.8,25.8,2.5,0.02
WA,1,2,36.0,32.1,10.0,0.0
NY,2,2,37.9,33.5,4.0,0.02
MI,2,4,32.2,22.3,4.0,0.01
NY,2,2,42.1,40.2,10.0,0.0
WI,2,2,32.0,23.0,1.8,0.0
IL,3,2,28.0,15.7,9.0,0.0
MI,4,2,46.0,41.9,8.0,0.0
WA,1,2,45.0,38.2,10.0,0.0
NY,2,2,42.8,36.2,10.0,9.99
RI,4,4,39.9,34.5,3.0,0.03
VT,5,2,33.1,24.9,5.0,0.02
NE,3,2,43.7,38.1,10.0,0.0
KY,4,2,46.0,39.6,10.0,0.0
NY,5,2,30.0,19.1,1.0,0.0
NY,5,4,33.1,21.5,0.5,0.07
CT,5,2,37.9,28.5,4.0,0.08
NY,5,4,34.0,18.2,0.8,0.0
CA,5,2,44.1,42.5,10.0,0.0
CA,5,2,46.0,41.0,5.0,0.05
PA,3,4,34.0,28.0,2.5,0.02
MN,2,2,30.0,20.5,7.0,0.0
MI,3,4,30.0,21.1,1.5,0.0
NH,3,2,30.0,20.5,8.0,0.0
MI,4,2,27.0,15.6,3.0,0.0
IN,3,4,26.1,13.1,2.5,0.0
NY,3,2,32.0,23.0,0.2,0.03
MI,4,2,28.9,16.5,1.0,0.0
NY,5,3,28.0,16.1,10.0,0.0
MD,2,2,33.1,22.6,10.0,0.01
NJ,3,2,30.9,20.7,10.0,0.0
OH,3,2,30.0,20.0,10.0,0.0
NY,3,2,30.0,21.1,0.5,0.05
VA,3,4,34.0,25.5,1.5,0.0
WA,5,4,37.9,32.7,10.0,0.0
OH,5,3,39.0,32.3,1.8,0.12
PA,4,4,44.1,38.1,10.0,0.0
OH,4,2,35.1,29.3,6.0,0.0
PA,5,2,30.9,22.8,1.2,0.0
MI,5,2,16.0,1.7,9.0,0.0
WI,7,3,32.0,23.6,10.0,0.0
MD,7,2,32.0,26.4,2.5,0.08
OH,1,4,24.1,8.7,1.2,0.01
VA,7,2,28.9,23.9,7.0,0.05
MN,7,2,7.0,-10.4,10.0,0.0
NE,1,2,17.4,12.1,1.5,0.01
NH,2,2,19.9,12.1,0.8,0.0
MI,3,2,18.0,8.7,0.5,0.02
MI,3,4,16.0,10.4,1.5,0.03
MI,3,2,15.1,9.4,2.0,0.01
OH,3,2,23.0,11.7,3.0,0.01
OH,3,2,21.9,9.8,4.0,0.0
NJ,3,2,37.0,31.0,1.2,0.15
MD,3,2,33.1,26.9,6.0,0.03
MI,5,2,19.0,6.8,4.0,0.0
MI,5,2,18.0,6.9,0.5,0.01
MD,2,2,35.1,27.4,10.0,0.0
MO,3,2,34.0,24.2,8.0,0.07
NJ,4,2,44.1,37.7,3.0,0.01
WA,4,2,30.0,24.1,10.0,0.0
NH,7,2,30.9,26.2,2.0,0.07
NJ,7,2,42.4,38.1,5.0,0.04
OR,2,4,39.0,35.7,8.0,0.0
WA,2,2,42.1,38.4,4.0,0.22
MI,2,2,10.0,-3.7,10.0,0.0
NY,2,2,17.1,-3.0,0.1,0.0
MI,4,2,19.9,9.3,0.5,0.0
MI,4,3,15.1,3.3,4.0,0.0
FL,3,2,39.9,31.1,1.0,0.03
GA,3,2,28.0,20.0,2.5,0.0
SC,3,4,28.9,20.4,7.0,0.04
IL,3,3,14.0,5.1,7.0,0.0
NY,4,2,19.9,8.6,1.0,0.0
NJ,4,2,21.2,3.9,0.2,0.0
NJ,4,2,25.0,8.6,0.2,0.02
PA,4,2,12.9,-2.2,2.0,0.0
NY,5,2,1.9,-18.1,2.5,0.0
NY,5,2,3.9,-18.5,3.0,0.0
NY,6,4,1.0,-18.7,0.8,0.0
MI,1,2,34.0,22.7,2.0,0.0
MI,1,2,34.0,24.6,3.0,0.01
VA,1,3,37.9,32.7,10.0,0.01
NY,2,2,46.4,45.2,10.0,9.99
KY,5,2,30.0,16.0,1.0,0.02
TN,5,2,23.0,11.1,1.5,0.0
TN,5,2,23.0,11.1,1.5,0.0
IL,1,2,19.0,4.5,1.2,0.01
IN,1,3,18.0,6.9,2.0,0.01
NY,2,2,24.1,14.4,10.0,0.0
IL,2,2,6.1,-9.5,1.0,0.0
NY,3,2,32.0,24.8,1.5,0.02
NC,3,2,32.0,23.6,0.5,0.02
NY,5,2,21.9,14.5,10.0,0.0
KS,1,4,33.1,21.9,1.8,0.0
ME,2,2,28.0,20.0,1.2,0.06
NJ,2,3,39.9,35.8,1.8,0.25
IL,3,2,28.0,21.7,8.0,0.0
IN,1,4,28.4,19.7,1.8,0.01
NY,2,3,30.9,21.7,2.5,0.01
IL,1,3,23.0,13.1,9.0,0.0
RI,2,2,21.2,7.3,0.8,0.0
CT,2,4,25.0,11.7,1.2,0.0
