State,End_Time,Severity,Temperature(F),Wind_Chill(F),Visibility(mi),Precipitation(in)
WI,5,2,28.9,25.2,0.8,0.02
MN,5,2,18.0,4.2,1.0,0.0
TN,5,2,42.1,39.2,2.5,0.05
PA,6,2,28.0,14.3,6.0,0.0
CO,7,3,23.0,11.7,1.2,0.0
NC,1,2,42.1,40.2,5.0,0.06
SC,1,2,37.4,32.1,2.0,0.26
NC,1,2,37.9,34.4,1.8,0.14
NC,1,2,46.0,43.1,7.0,0.0
NC,1,2,43.0,40.3,3.0,0.19
NC,1,2,46.0,43.1,1.5,0.22
VA,1,3,45.0,43.5,5.0,0.03
SC,1,2,41.0,37.1,7.0,0.06
SC,1,2,39.9,34.5,4.0,0.08
SC,1,2,39.9,32.9,2.5,0.01
SC,1,2,41.0,35.8,4.0,0.1
SC,1,3,39.2,31.6,2.5,0.29
SC,1,3,41.0,34.3,3.0,0.1
KS,1,2,26.1,14.5,1.0,0.0
WI,1,2,26.1,15.6,9.0,0.0
OK,1,2,28.0,13.9,5.0,0.0
OK,1,2,27.0,11.6,10.0,0.0
OK,1,2,27.0,11.6,10.0,0.0
TN,1,2,45.0,42.6,2.5,0.02
CO,1,2,19.0,8.2,6.0,0.01
MI,2,3,28.9,20.4,2.5,0.01
MI,2,3,28.0,20.8,10.0,0.0
MI,2,3,28.0,20.8,10.0,0.0
MI,2,3,28.9,16.9,10.0,0.0
NY,2,3,35.1,30.1,2.5,0.04
NY,2,3,30.9,27.5,0.5,0.02
CT,2,3,41.0,38.0,3.0,0.03
PA,2,2,39.9,35.1,2.0,0.01
PA,2,2,44.6,43.1,6.0,0.01
KY,2,3,37.0,33.3,5.0,0.0
TN,2,2,37.9,30.5,5.0,0.0
NY,3,3,30.0,20.5,10.0,0.01
NY,3,3,28.9,20.4,10.0,0.0
NY,3,2,26.1,19.4,1.2,0.0
KY,3,3,34.0,25.0,10.0,0.0
NC,3,2,45.0,40.6,8.0,0.0
NC,3,2,45.0,40.1,7.0,0.01
NC,3,2,45.0,40.1,7.0,0.0
NC,3,2,45.0,40.1,7.0,0.0
NC,3,2,45.0,42.6,9.0,0.0
NC,3,2,45.0,40.6,6.0,0.0
NC,3,2,43.0,36.4,6.0,0.02
NC,3,2,43.0,36.4,6.0,0.02
GA,3,3,44.1,41.5,2.0,0.03
LA,3,3,37.0,31.0,10.0,0.0
AL,3,3,43.0,39.5,6.0,0.02
NY,4,3,35.1,23.8,7.0,0.04
OH,4,3,33.1,24.9,7.0,0.0
VA,4,3,30.9,22.8,1.2,0.01
VA,4,3,32.0,28.7,5.0,0.01
KY,4,2,34.0,26.6,5.0,0.02
KY,4,2,34.0,25.5,1.2,0.01
OH,4,2,36.0,29.0,6.0,0.05
SC,4,2,37.0,29.3,3.0,0.11
VA,4,3,30.0,21.7,5.0,0.15
NC,4,2,37.0,29.3,2.5,0.09
VA,4,2,36.0,28.0,7.0,0.03
VA,4,3,37.9,32.1,4.0,0.24
VA,4,2,45.0,37.6,2.5,0.17
VA,4,2,45.0,38.2,3.0,0.0
SC,4,3,37.9,27.3,8.0,0.06
SC,4,2,37.9,32.7,10.0,0.0
MO,4,2,28.0,18.6,2.5,0.01
IL,4,2,28.0,24.2,1.0,0.02
MO,4,3,28.0,20.0,1.2,0.02
FL,4,2,42.1,34.9,10.0,0.0
NY,5,3,34.0,24.2,4.0,0.0
MI,5,3,30.9,22.8,5.0,0.01
MI,5,2,30.0,20.0,0.5,0.0
MI,5,3,33.1,23.9,0.2,0.03
MI,5,2,30.2,20.8,3.0,0.0
NY,5,2,28.9,21.9,9.0,0.01
NY,5,3,32.0,27.5,7.0,0.0
NY,5,2,41.0,30.9,6.0,0.0
NJ,5,3,34.0,25.5,2.5,0.08
NY,5,2,37.9,27.1,10.0,0.0
NY,5,3,35.1,30.1,4.0,0.03
KY,1,3,41.0,35.8,1.8,0.08
OH,1,3,42.1,39.2,3.0,0.02
OH,1,2,37.9,34.4,1.5,0.0
KY,1,3,43.0,40.3,6.0,0.01
MI,2,2,28.0,18.1,10.0,0.0
NY,2,3,32.0,28.7,0.8,0.02
NY,2,3,33.1,27.7,1.5,0.01
OH,2,2,36.0,26.3,8.0,0.0
PA,2,2,33.1,27.7,5.0,0.0
WI,2,2,28.0,18.6,5.0,0.0
IL,2,2,30.0,22.4,10.0,0.0
WA,3,2,46.0,43.1,10.0,0.03
WA,3,2,45.0,41.2,10.0,0.05
CA,3,3,37.9,30.0,1.8,0.12
NC,5,2,35.1,27.4,6.0,0.02
GA,5,3,42.1,39.2,5.0,0.0
NY,6,3,24.1,13.7,9.0,0.0
OH,6,3,45.0,38.2,10.0,0.01
PA,6,2,30.9,20.7,3.0,0.03
NY,1,3,37.9,30.5,10.0,0.02
MI,1,2,32.0,20.1,5.0,0.07
MI,1,3,30.9,22.2,0.2,0.08
KY,1,2,35.1,24.8,5.0,0.0
IL,1,2,27.0,13.2,1.0,0.0
IL,1,2,28.0,16.5,1.0,0.0
IL,1,2,27.0,12.5,0.5,0.0
NY,2,2,35.1,26.4,7.0,0.02
NY,2,2,35.1,24.8,9.0,0.0
NY,2,2,34.0,24.2,4.0,0.0
PA,2,2,26.1,13.6,6.0,0.0
OH,2,2,26.1,14.0,2.5,0.0
IL,2,2,21.9,11.0,4.0,0.0
IL,2,2,21.0,9.9,3.0,0.0
IL,2,2,21.0,9.9,3.0,0.0
MI,4,2,27.0,18.0,4.0,0.0
NH,3,3,33.1,26.9,10.0,0.0
MN,3,3,26.1,16.2,8.0,0.0
MN,3,3,24.1,13.1,1.8,0.0
IL,3,2,26.1,21.9,6.0,0.0
MN,5,2,33.1,28.7,10.0,0.06
MN,3,3,41.0,31.9,5.0,0.01
UT,3,2,43.0,38.8,10.0,0.03
NY,6,3,46.0,44.8,7.0,0.01
TX,1,3,41.5,35.0,5.0,0.03
TX,1,3,43.7,36.0,4.0,0.05
TX,1,2,45.0,39.7,10.0,0.04
TX,1,3,42.1,33.1,1.8,0.28
NY,3,2,36.0,30.3,10.0,0.01
NY,3,2,39.0,32.3,9.0,0.0
NY,3,3,39.0,32.3,4.0,0.0
TN,5,2,46.0,43.9,4.0,0.24
NC,5,2,46.0,41.9,2.5,0.05
NC,5,2,46.0,41.0,4.0,0.1
NC,5,2,46.0,39.6,1.0,0.06
NC,5,2,46.0,40.2,1.0,0.22
NC,5,3,44.1,37.1,2.0,0.19
NC,5,3,45.0,41.2,4.0,0.07
NC,5,2,45.0,39.7,9.0,0.09
NC,5,2,45.0,37.9,2.0,0.05
VA,5,2,46.0,41.9,7.0,0.06
SC,5,2,44.1,39.0,2.0,0.04
SC,5,3,44.6,38.4,10.0,0.01
MI,6,2,42.1,36.6,10.0,0.0
NY,6,3,41.0,32.5,2.0,0.08
NY,6,3,42.1,37.1,10.0,0.0
NY,6,3,39.9,33.9,4.0,0.05
NY,7,3,45.0,43.5,10.0,0.0
OH,1,3,44.1,38.1,10.0,0.0
NY,1,2,46.0,43.9,4.0,0.03
UT,3,3,45.9,43.6,7.0,0.02
UT,3,3,45.0,42.6,10.0,0.07
MI,5,2,41.0,33.9,7.0,0.09
MI,5,3,42.1,35.2,7.0,0.04
MO,7,3,30.0,18.7,1.2,0.06
NY,1,2,30.0,25.2,0.5,0.1
NJ,1,2,33.1,26.1,1.0,0.0
PA,1,2,32.0,27.5,1.0,0.06
NJ,1,3,32.9,24.7,8.0,0.02
PA,1,2,32.0,25.6,1.8,0.04
MN,1,3,30.0,21.1,2.0,0.03
MN,1,3,28.9,20.4,5.0,0.01
MN,1,3,30.0,21.1,9.0,0.0
MN,1,3,30.0,25.2,4.0,0.0
UT,1,3,36.5,31.8,10.0,0.02
NY,2,3,39.0,32.8,4.0,0.0
NY,2,2,37.9,32.1,4.0,0.11
MI,2,2,34.0,24.2,8.0,0.0
NY,2,3,42.1,36.6,1.5,0.01
NY,2,2,37.0,30.4,1.2,0.01
MN,2,3,28.9,21.1,1.0,0.0
WI,2,2,24.1,9.8,0.8,0.0
MO,2,3,37.0,30.4,5.0,0.01
MI,3,3,28.9,13.5,1.8,0.0
MI,3,3,30.9,20.7,1.8,0.03
NY,3,2,42.1,36.6,0.2,0.0
PA,3,3,30.0,19.1,10.0,0.0
OH,3,2,36.0,24.4,6.0,0.0
OH,4,3,28.9,19.8,7.0,0.0
OH,4,3,28.0,20.0,1.5,0.01
NY,5,2,30.9,27.5,4.0,0.0
OK,5,2,35.8,23.9,10.0,0.0
VA,6,3,39.2,33.0,10.0,0.0
VA,6,3,39.0,31.4,10.0,0.02
NY,7,2,33.1,23.0,9.0,0.0
MI,1,3,33.1,26.9,3.0,0.0
PA,1,3,26.1,21.9,2.0,0.0
IN,1,2,33.1,28.7,7.0,0.0
OH,1,3,30.0,23.2,5.0,0.0
TN,1,3,39.0,34.8,2.0,0.03
VA,1,2,39.2,37.0,10.0,0.01
IA,1,3,30.0,22.4,2.5,0.0
NJ,2,3,37.9,32.7,5.0,0.0
NY,5,3,39.0,33.4,10.0,0.0
WI,5,3,37.9,28.2,1.0,0.01
MI,6,3,39.0,30.3,3.0,0.11
MI,6,3,39.0,30.3,3.0,0.16
MI,7,3,32.0,21.2,4.0,0.06
WA,7,3,44.1,42.5,4.0,0.01
NY,1,3,39.9,31.4,1.5,0.1
NJ,1,2,46.0,41.9,2.5,0.2
NJ,1,3,44.1,39.0,3.0,0.06
CT,1,2,37.0,30.4,2.0,0.0
OH,1,2,40.3,33.9,10.0,0.02
PA,1,3,44.1,37.7,1.8,0.45
PA,1,2,46.4,39.2,5.0,0.27
IN,1,2,30.9,19.1,9.0,0.0
IN,1,2,32.0,19.8,3.0,0.01
IL,1,2,30.9,20.2,8.0,0.0
MN,1,2,21.0,8.6,7.0,0.0
IL,1,2,27.0,17.3,4.0,0.0
IL,1,3,28.0,16.1,4.0,0.0
IL,1,2,26.1,14.5,1.2,0.0
IL,1,2,27.0,15.6,2.5,0.0
MI,2,2,30.0,21.7,7.0,0.01
OH,2,3,32.0,20.8,10.0,0.0
UT,2,3,43.0,37.2,10.0,0.0
IA,3,3,35.1,27.9,8.0,0.01
IA,3,2,36.0,26.7,9.0,0.01
NY,4,3,39.9,32.5,10.0,0.0
PA,4,2,42.1,34.9,7.0,0.02
NY,4,3,44.6,39.2,10.0,0.02
NJ,4,3,45.0,39.3,10.0,0.0
CT,4,3,43.0,38.2,5.0,0.02
NY,4,2,42.1,37.1,5.0,0.0
PA,4,2,37.9,30.9,2.0,0.03
PA,4,2,43.0,40.3,4.0,0.0
OH,3,3,45.0,43.5,1.0,0.0
NE,3,3,43.0,36.0,7.0,0.06
MI,4,3,34.0,23.0,0.2,0.16
MI,4,2,30.9,21.2,4.0,0.01
NY,4,2,46.0,42.5,5.0,0.04
IL,4,2,37.0,27.7,3.0,0.19
OR,4,2,37.4,30.3,10.0,0.08
CA,4,2,41.0,34.3,2.5,0.08
RI,5,3,39.9,29.2,5.0,0.12
NH,5,2,33.8,24.3,6.0,0.03
NY,5,2,30.0,16.6,0.2,0.05
NY,5,3,28.0,18.1,2.0,0.01
NJ,5,3,43.0,37.7,6.0,0.03
NY,5,3,35.1,23.0,2.0,0.26
