P1	P2	A	D
-4.623726935340393696e-01	2.201952538842304741e-01	2.000000000000000000e+00	4.000000000000000000e+00
1.060724029208338193e+00	2.441022766638639985e-01	2.000000000000000000e+00	4.000000000000000000e+00
1.318725285313826046e+00	-1.133104456980076780e+00	3.000000000000000000e+00	4.000000000000000000e+00
1.023603950938369200e+00	1.069512505799416480e-01	2.000000000000000000e+00	4.000000000000000000e+00
1.131860525410651963e+00	-1.026016765842412415e+00	3.000000000000000000e+00	4.000000000000000000e+00
4.013718673879914517e-02	-1.499028085642636343e+00	3.000000000000000000e+00	5.000000000000000000e+00
-1.814343749821679230e+00	-1.487029424888961504e+00	3.000000000000000000e+00	5.000000000000000000e+00
-1.207080994671876129e+00	-1.519405243548604512e+00	3.000000000000000000e+00	5.000000000000000000e+00
1.407548833338380989e+00	-1.058094216484914529e+00	3.000000000000000000e+00	5.000000000000000000e+00
1.746289351454886951e+00	-1.112787433881496507e-01	2.000000000000000000e+00	5.000000000000000000e+00
2.206658895662858999e+00	-1.369847104591983999e+00	3.000000000000000000e+00	5.000000000000000000e+00
-8.961764410955087579e-01	-7.391684917985734404e-02	2.000000000000000000e+00	5.000000000000000000e+00
-1.383081286238377228e+00	7.786976268504372523e-02	2.000000000000000000e+00	5.000000000000000000e+00
-1.383081286238377228e+00	7.786976268504372523e-02	2.000000000000000000e+00	5.000000000000000000e+00
-1.344480191294094018e+00	-1.447056085635684441e+00	3.000000000000000000e+00	5.000000000000000000e+00
-2.004849365737286337e+00	6.042095726433779207e-02	2.000000000000000000e+00	5.000000000000000000e+00
2.349975060251697501e-01	-1.947774624758785267e+00	3.000000000000000000e+00	6.000000000000000000e+00
-9.559472168245185253e-02	1.205053014176862503e+00	2.000000000000000000e+00	1.000000000000000000e+00
-7.180987914257419558e-01	1.336118032494832075e+00	2.000000000000000000e+00	1.000000000000000000e+00
-9.116847666304240816e-01	1.242786709723902261e+00	2.000000000000000000e+00	1.000000000000000000e+00
-9.211840937072824920e-01	2.695357524351548253e-02	3.000000000000000000e+00	1.000000000000000000e+00
-9.211840937072824920e-01	2.695357524351548253e-02	3.000000000000000000e+00	1.000000000000000000e+00
2.505785689887412016e+00	6.687747820184661296e-02	3.000000000000000000e+00	1.000000000000000000e+00
1.318036795824447660e+00	1.276458849047947819e+00	2.000000000000000000e+00	1.000000000000000000e+00
2.187444738972472269e+00	-3.937330778286479011e-02	3.000000000000000000e+00	1.000000000000000000e+00
-6.006042396350050883e-01	1.202129376545192641e-01	3.000000000000000000e+00	1.000000000000000000e+00
-7.890348704623326714e-01	1.617031438673151689e+00	2.000000000000000000e+00	1.000000000000000000e+00
-1.289694904159135458e+00	1.543221079991700773e+00	2.000000000000000000e+00	1.000000000000000000e+00
-1.776029410037071932e+00	1.224246325864394996e-01	2.000000000000000000e+00	4.000000000000000000e+00
-1.511277540442265810e+00	-1.138320857475546344e+00	3.000000000000000000e+00	4.000000000000000000e+00
-1.492855873726276261e+00	-3.108532909051505144e-01	2.000000000000000000e+00	5.000000000000000000e+00
-1.758829284476821186e+00	1.419327504898360459e+00	2.000000000000000000e+00	1.000000000000000000e+00
-1.778479520875198450e+00	1.584762418648125282e+00	2.000000000000000000e+00	1.000000000000000000e+00
-2.050668874770975592e+00	1.196916158726953672e+00	2.000000000000000000e+00	2.000000000000000000e+00
-1.728712519974265005e+00	8.862189410903754672e-01	2.000000000000000000e+00	2.000000000000000000e+00
-7.881239289339602161e-01	1.800661427167771222e-02	3.000000000000000000e+00	2.000000000000000000e+00
-1.148799465005019838e-01	1.195433289515422048e+00	2.000000000000000000e+00	2.000000000000000000e+00
-8.134093011471300871e-02	3.806941240048027780e-02	3.000000000000000000e+00	2.000000000000000000e+00
2.831175400963402145e-01	6.565821154914053270e-01	2.000000000000000000e+00	3.000000000000000000e+00
7.865330544678275082e-01	-6.936493937866732296e-01	3.000000000000000000e+00	4.000000000000000000e+00
-2.143533462695879521e+00	-7.795284699410851559e-01	3.000000000000000000e+00	4.000000000000000000e+00
-1.590384918604727194e+00	4.511640695014200730e-01	2.000000000000000000e+00	4.000000000000000000e+00
-1.590384918604727194e+00	4.511640695014200730e-01	2.000000000000000000e+00	4.000000000000000000e+00
-2.290094893423272993e+00	4.356393593844448131e-01	2.000000000000000000e+00	4.000000000000000000e+00
1.128995681707178206e-01	-3.734063908048007585e-01	2.000000000000000000e+00	5.000000000000000000e+00
-1.783380773463479452e+00	7.036317287299165280e-02	2.000000000000000000e+00	5.000000000000000000e+00
-1.020964806641228906e+00	-1.405419135082252469e+00	3.000000000000000000e+00	5.000000000000000000e+00
4.456797980179454111e-02	-1.508141554340020951e+00	3.000000000000000000e+00	5.000000000000000000e+00
-1.412246708139246243e+00	-9.321286661609633206e-02	2.000000000000000000e+00	5.000000000000000000e+00
5.446120144699589938e-01	-3.788393358579942305e-01	2.000000000000000000e+00	5.000000000000000000e+00
2.465464934444927092e+00	-3.234067358447401674e-01	2.000000000000000000e+00	5.000000000000000000e+00
-1.317475338446560285e+00	-3.240383812791351459e-01	2.000000000000000000e+00	5.000000000000000000e+00
7.179525799451997869e-01	-4.703510098832699438e-01	2.000000000000000000e+00	6.000000000000000000e+00
1.605912739305526804e+00	-2.310276293157937477e+00	3.000000000000000000e+00	7.000000000000000000e+00
-1.322641214141288879e+00	1.340865670611826044e+00	2.000000000000000000e+00	1.000000000000000000e+00
-3.326573911480620316e-01	1.282518756889814648e+00	2.000000000000000000e+00	1.000000000000000000e+00
-4.553209171750932094e-01	1.217691726343463232e+00	2.000000000000000000e+00	1.000000000000000000e+00
-1.915170760295809904e+00	1.411376192444947053e+00	2.000000000000000000e+00	1.000000000000000000e+00
-1.253412725946951856e+00	1.283779064696346506e+00	2.000000000000000000e+00	1.000000000000000000e+00
-1.505317802147051021e+00	1.203751849894131754e+00	2.000000000000000000e+00	1.000000000000000000e+00
-1.650924459422537849e+00	1.040210246986185416e-01	3.000000000000000000e+00	1.000000000000000000e+00
-1.238070092508679165e+00	1.456160243363799012e+00	2.000000000000000000e+00	1.000000000000000000e+00
-7.742513751807607036e-01	1.307248427171773919e+00	2.000000000000000000e+00	1.000000000000000000e+00
-5.505182490255519090e-01	1.198512281542738478e+00	2.000000000000000000e+00	1.000000000000000000e+00
-9.283868261746592854e-01	1.311225710810654643e+00	2.000000000000000000e+00	1.000000000000000000e+00
-4.263454802937937660e-01	1.051953045096122308e-01	3.000000000000000000e+00	1.000000000000000000e+00
-7.088566338425651425e-01	4.558247113629654984e-02	3.000000000000000000e+00	1.000000000000000000e+00
1.575056173928080616e+00	1.169760734945279657e+00	2.000000000000000000e+00	1.000000000000000000e+00
8.584100094341400311e-01	1.603486357666306539e+00	2.000000000000000000e+00	1.000000000000000000e+00
1.142536829482039273e+00	1.383258519983791679e+00	2.000000000000000000e+00	1.000000000000000000e+00
9.299817239750469700e-01	1.660478140053450513e+00	2.000000000000000000e+00	1.000000000000000000e+00
9.299817239750469700e-01	1.660478140053450513e+00	2.000000000000000000e+00	1.000000000000000000e+00
-1.450199697109938901e+00	1.178084898885120024e+00	2.000000000000000000e+00	1.000000000000000000e+00
2.019096917324594287e+00	1.471298381547753831e+00	2.000000000000000000e+00	1.000000000000000000e+00
9.171446116881830646e-01	-3.532893735651664313e-01	3.000000000000000000e+00	2.000000000000000000e+00
3.465742790113528482e-01	5.219449579655041638e-02	3.000000000000000000e+00	2.000000000000000000e+00
3.465742790113528482e-01	5.219449579655041638e-02	3.000000000000000000e+00	2.000000000000000000e+00
4.947504579506448175e-01	5.468169341396773853e-02	3.000000000000000000e+00	2.000000000000000000e+00
-6.564408523277538710e-02	-3.681582241271574851e-01	3.000000000000000000e+00	2.000000000000000000e+00
5.472293850443353813e-01	-4.715476064845596782e-01	3.000000000000000000e+00	2.000000000000000000e+00
-9.619345317293187536e-01	-3.695270658375044981e-01	3.000000000000000000e+00	2.000000000000000000e+00
-6.938179849482980499e-01	7.871436590487242979e-01	2.000000000000000000e+00	2.000000000000000000e+00
-1.798153535306059148e+00	9.831605065868075366e-01	2.000000000000000000e+00	2.000000000000000000e+00
-5.751326173143527232e-01	-2.574900451810632207e-01	3.000000000000000000e+00	2.000000000000000000e+00
-5.425636270174906128e-01	9.567439798243497773e-01	2.000000000000000000e+00	2.000000000000000000e+00
1.527048401957311896e-01	-3.297980722536294484e-01	3.000000000000000000e+00	3.000000000000000000e+00
2.393884337422508279e-01	-3.310767024002668757e-01	3.000000000000000000e+00	3.000000000000000000e+00
1.162656356083340059e+00	4.116748578015509419e-01	2.000000000000000000e+00	3.000000000000000000e+00
-3.797565504227744526e-01	-3.494589931798869342e-01	3.000000000000000000e+00	3.000000000000000000e+00
-1.916790259398597929e+00	7.083049035543678151e-01	2.000000000000000000e+00	3.000000000000000000e+00
-1.809290910998984314e+00	6.586883932169957934e-01	2.000000000000000000e+00	3.000000000000000000e+00
-1.807403547850677361e+00	6.545301257646786164e-01	2.000000000000000000e+00	3.000000000000000000e+00
-1.807403547850677361e+00	6.545301257646786164e-01	2.000000000000000000e+00	3.000000000000000000e+00
-2.108132588820357700e+00	7.602551638939641920e-01	2.000000000000000000e+00	3.000000000000000000e+00
-1.752653914885316633e+00	5.995390030082606847e-01	2.000000000000000000e+00	3.000000000000000000e+00
-1.382711961062533801e+00	6.179787373349858726e-01	2.000000000000000000e+00	3.000000000000000000e+00
-1.382711961062533801e+00	6.179787373349858726e-01	2.000000000000000000e+00	3.000000000000000000e+00
-1.358801856293675447e+00	-8.174409652956307060e-01	3.000000000000000000e+00	3.000000000000000000e+00
-9.239404470271033176e-01	-3.642788888230045763e-01	3.000000000000000000e+00	3.000000000000000000e+00
-1.496580502466855478e+00	-5.988767389132695351e-01	3.000000000000000000e+00	3.000000000000000000e+00
-2.190017636564018100e-01	-8.787743514693963087e-01	3.000000000000000000e+00	4.000000000000000000e+00
-1.273121474313403390e-01	-8.917308501802354570e-01	3.000000000000000000e+00	4.000000000000000000e+00
6.201987986121551000e-01	-1.194923364263484888e+00	3.000000000000000000e+00	4.000000000000000000e+00
-9.335154214013756391e-02	-9.982025913385869087e-01	3.000000000000000000e+00	4.000000000000000000e+00
-1.802483925393306152e-01	2.165802568334265488e-01	2.000000000000000000e+00	4.000000000000000000e+00
1.935988116250269564e-01	7.104757806907192712e-03	2.000000000000000000e+00	4.000000000000000000e+00
-5.433485929116840252e-01	2.755042309814524359e-01	2.000000000000000000e+00	4.000000000000000000e+00
-3.969798536426985547e-01	1.344328061052610934e-01	2.000000000000000000e+00	4.000000000000000000e+00
4.069258739341229392e-01	-9.264578816772148784e-01	3.000000000000000000e+00	4.000000000000000000e+00
-3.521710412177633254e-01	9.892479606409991522e-02	2.000000000000000000e+00	4.000000000000000000e+00
-5.670049602891501506e-01	3.227869913165999360e-01	2.000000000000000000e+00	4.000000000000000000e+00
-6.659695921895811832e-01	-9.758738872526220298e-01	3.000000000000000000e+00	4.000000000000000000e+00
-1.397721498930057482e+00	1.020370702114672401e-01	2.000000000000000000e+00	4.000000000000000000e+00
-1.439452658686686259e+00	5.780819167856374174e-02	2.000000000000000000e+00	4.000000000000000000e+00
-6.980117673503222209e-01	-8.273524444618211016e-01	3.000000000000000000e+00	4.000000000000000000e+00
-1.201370559521194981e+00	4.629803954014454770e-01	2.000000000000000000e+00	4.000000000000000000e+00
8.966288801289976629e-01	1.012390251177964356e-01	2.000000000000000000e+00	4.000000000000000000e+00
7.118761353033166150e-01	1.701133534685362464e-02	2.000000000000000000e+00	4.000000000000000000e+00
9.804446331003532356e-01	-1.180088232589673103e+00	3.000000000000000000e+00	4.000000000000000000e+00
-1.624478127555385454e+00	4.497738802947976455e-01	2.000000000000000000e+00	4.000000000000000000e+00
2.809764764424720757e-02	-1.437785995706194697e+00	3.000000000000000000e+00	5.000000000000000000e+00
2.442074948674858026e-01	-1.369769341656566164e+00	3.000000000000000000e+00	5.000000000000000000e+00
7.777874785329207397e-01	-3.999037648265632572e-01	2.000000000000000000e+00	5.000000000000000000e+00
4.155941638820178641e-01	-1.629344953144004737e+00	3.000000000000000000e+00	5.000000000000000000e+00
5.144832900180067448e-01	-2.654209201734954449e-01	2.000000000000000000e+00	5.000000000000000000e+00
5.384272443626063331e-02	6.695652731893184106e-02	2.000000000000000000e+00	5.000000000000000000e+00
-2.541682783754746211e-01	-1.273636532715407110e+00	3.000000000000000000e+00	5.000000000000000000e+00
-1.062456850828062738e+00	-1.416357265521800135e-01	2.000000000000000000e+00	5.000000000000000000e+00
6.507279868542073520e-02	-1.487675529953984332e+00	3.000000000000000000e+00	5.000000000000000000e+00
-9.595351686282954651e-01	8.829073878444054779e-02	2.000000000000000000e+00	5.000000000000000000e+00
-3.792557279777337143e-01	-1.435245631461948612e+00	3.000000000000000000e+00	5.000000000000000000e+00
-6.885557187118210853e-01	-2.981812154609498819e-02	3.000000000000000000e+00	1.000000000000000000e+00
-1.040811936250604308e+00	3.598238371781763926e-03	3.000000000000000000e+00	1.000000000000000000e+00
-4.042773814217962558e-01	1.143161096929106169e+00	2.000000000000000000e+00	1.000000000000000000e+00
-1.410138303845725138e+00	1.589942945223999371e-01	3.000000000000000000e+00	1.000000000000000000e+00
4.385879889826502231e-01	1.268563434058114670e+00	2.000000000000000000e+00	2.000000000000000000e+00
3.777119165283154834e-01	-4.594503381717249813e-01	3.000000000000000000e+00	2.000000000000000000e+00
2.974561151395782588e-01	-4.270821982751832335e-01	3.000000000000000000e+00	2.000000000000000000e+00
-4.222635111716465661e-01	1.129765302537510063e+00	2.000000000000000000e+00	2.000000000000000000e+00
-4.340152681197024381e-02	9.721846670795839529e-01	2.000000000000000000e+00	2.000000000000000000e+00
8.216103109745734878e-01	9.960405102094828100e-01	2.000000000000000000e+00	2.000000000000000000e+00
5.940760100499648672e-02	1.258318600139351151e+00	2.000000000000000000e+00	2.000000000000000000e+00
-2.295301864849524698e+00	8.239974687596897107e-01	2.000000000000000000e+00	3.000000000000000000e+00
-2.123145666802952469e+00	8.371323343820240570e-01	2.000000000000000000e+00	3.000000000000000000e+00
-2.839011412524714562e-01	-7.613600744203320447e-01	3.000000000000000000e+00	3.000000000000000000e+00
-4.494909993714099050e-01	-1.142690601065944056e-01	2.000000000000000000e+00	5.000000000000000000e+00
-1.457702551145011016e+00	-1.421957149709484725e+00	3.000000000000000000e+00	5.000000000000000000e+00
8.413065651680894375e-01	-1.509778785339899621e+00	3.000000000000000000e+00	6.000000000000000000e+00
-2.088575323768734560e+00	-1.533440072670510634e+00	3.000000000000000000e+00	6.000000000000000000e+00
3.996683267364790626e-01	-6.360807644471963007e-01	2.000000000000000000e+00	6.000000000000000000e+00
-8.370405632262596374e-01	4.053916476735398011e-01	3.000000000000000000e+00	1.000000000000000000e+00
5.020935000867221554e-01	1.394795952232633196e+00	2.000000000000000000e+00	1.000000000000000000e+00
9.142344234884842713e-01	-7.496507009822631074e-02	3.000000000000000000e+00	1.000000000000000000e+00
3.493730017424070966e-02	1.352198705351950414e+00	2.000000000000000000e+00	1.000000000000000000e+00
1.581175948552717037e+00	1.169085435649202864e+00	2.000000000000000000e+00	1.000000000000000000e+00
1.328753114193946372e+00	1.162564221978082957e+00	2.000000000000000000e+00	1.000000000000000000e+00
1.660455989688829570e+00	1.142745401989386345e+00	2.000000000000000000e+00	1.000000000000000000e+00
-2.845253455371857809e-01	1.085833800425241691e+00	2.000000000000000000e+00	2.000000000000000000e+00
-3.574676380217567950e-01	1.188229318013479974e+00	2.000000000000000000e+00	2.000000000000000000e+00
1.649879929509383281e-01	9.198023764372563749e-01	2.000000000000000000e+00	2.000000000000000000e+00
1.149756434199746158e+00	1.061269008349918108e+00	2.000000000000000000e+00	2.000000000000000000e+00
1.415140205664964679e+00	8.704421444075394199e-01	2.000000000000000000e+00	2.000000000000000000e+00
1.758855178180241730e+00	9.661961608971501025e-01	2.000000000000000000e+00	2.000000000000000000e+00
1.965932564410389327e+00	9.154077378403220333e-01	2.000000000000000000e+00	2.000000000000000000e+00
1.965932564410389327e+00	9.154077378403220333e-01	2.000000000000000000e+00	2.000000000000000000e+00
8.803167070782034198e-01	1.818922653360121322e-01	2.000000000000000000e+00	4.000000000000000000e+00
-4.186585721969467433e-01	-3.495135008638473595e-01	3.000000000000000000e+00	3.000000000000000000e+00
8.349378384039888301e-01	-4.277135832995507814e-01	3.000000000000000000e+00	3.000000000000000000e+00
1.657376400073742762e+00	-7.561026550337933694e-01	3.000000000000000000e+00	3.000000000000000000e+00
6.321364327950655948e-01	6.696721566953864890e-01	2.000000000000000000e+00	3.000000000000000000e+00
-7.121003930758827982e-01	1.233291128999726566e-01	2.000000000000000000e+00	5.000000000000000000e+00
-8.531422197618058201e-01	-6.431591843296725619e-01	3.000000000000000000e+00	3.000000000000000000e+00
-1.844001001835546827e+00	8.367495779593687733e-01	2.000000000000000000e+00	3.000000000000000000e+00
-2.275096000680029817e+00	-1.707124075550995101e+00	3.000000000000000000e+00	6.000000000000000000e+00
-9.340876288436478214e-01	1.231354203990151774e-01	3.000000000000000000e+00	1.000000000000000000e+00
-1.069096306546093889e+00	7.033665444585357474e-02	3.000000000000000000e+00	1.000000000000000000e+00
-1.911038187441935543e+00	1.597800961241168771e+00	2.000000000000000000e+00	1.000000000000000000e+00
-6.581153920450155681e-01	5.387335610140989162e-02	3.000000000000000000e+00	1.000000000000000000e+00
-8.709677823329092794e-01	8.563229022383351818e-01	2.000000000000000000e+00	3.000000000000000000e+00
-1.112647829202051408e+00	7.878271687367610632e-01	2.000000000000000000e+00	3.000000000000000000e+00
-6.468005657172345435e-01	-6.971723894799037868e-01	3.000000000000000000e+00	3.000000000000000000e+00
-2.014501618629055635e+00	-1.789520692147217318e-01	2.000000000000000000e+00	5.000000000000000000e+00
-1.746265303261133051e+00	-3.371008862848723364e-01	2.000000000000000000e+00	5.000000000000000000e+00
-1.829631006663327675e+00	-2.336404131436503051e-01	2.000000000000000000e+00	5.000000000000000000e+00
-1.499385127284592389e+00	-4.117194508186601265e-01	2.000000000000000000e+00	5.000000000000000000e+00
-1.562365184807047669e+00	-3.459169785616211246e-01	2.000000000000000000e+00	5.000000000000000000e+00
-1.276861019242202300e+00	-1.508559145066318941e+00	3.000000000000000000e+00	5.000000000000000000e+00
-1.707269455696980076e+00	-1.456936016064429129e+00	3.000000000000000000e+00	5.000000000000000000e+00
-2.094935827604571976e+00	3.820459450696281345e-02	2.000000000000000000e+00	5.000000000000000000e+00
-1.414562427766249852e+00	-3.569197062735696147e-01	2.000000000000000000e+00	5.000000000000000000e+00
-2.117459441564323530e+00	-8.821934260381429638e-02	2.000000000000000000e+00	5.000000000000000000e+00
-1.407867423526067974e+00	-3.601594054364644082e-01	2.000000000000000000e+00	5.000000000000000000e+00
-2.006522300301281980e+00	-1.151179243120805662e+00	3.000000000000000000e+00	5.000000000000000000e+00
-1.845625659484606551e+00	-3.152962830100101699e-01	2.000000000000000000e+00	6.000000000000000000e+00
-8.453282396878769589e-01	-1.922433535254704173e+00	3.000000000000000000e+00	6.000000000000000000e+00
-1.817437796574272957e+00	-1.528989262344771616e+00	3.000000000000000000e+00	6.000000000000000000e+00
