State,Day,Night
AL,876,227
AR,19,12
AZ,1249,385
CA,10519,4307
CO,851,235
CT,395,88
DC,69,17
DE,131,67
FL,4119,1459
GA,1500,539
IA,156,37
ID,29,16
IL,1485,473
IN,694,337
KS,192,34
KY,498,220
LA,1545,340
MA,493,125
MD,836,306
ME,19,5
MI,1389,698
MN,1183,358
MO,675,173
MS,176,21
MT,4,0
NC,3470,851
NE,337,91
NH,140,45
NJ,1134,351
NM,173,19
NV,143,60
NY,2109,916
OH,876,346
OK,1388,333
OR,609,197
PA,1379,499
RI,155,47
SC,4437,1035
TN,1472,451
TX,5697,1559
UT,467,137
VA,1471,495
VT,15,5
WA,1061,435
WI,269,106
WV,32,8
WY,11,5
